drug_name,num_prescriber,total_cost
XELJANZ,66,5612206
OPANA ER,292,5610872
BUPROPION XL,4028,5595312
QVAR,1193,5594223
CARVEDILOL,9143,5589031
VENTOLIN HFA,3556,5522517
ADEMPAS,24,5464644
PATADAY,875,5404949
VENLAFAXINE HCL ER,5474,5376167
VALSARTAN-HYDROCHLOROTHIAZIDE,4039,5330853
NOVOLOG MIX 70-30,452,5291649
ENALAPRIL MALEATE,4620,5285088
PRISTIQ ER,800,5271520
NIACIN ER,1199,5268654
ESCITALOPRAM OXALATE,7164,5219942
HYDROCHLOROTHIAZIDE,11127,5140815
NOVOLIN 70-30,971,5129597
ALPRAZOLAM,8561,5112246
CLOZAPINE,844,5095970
LATANOPROST,2836,5079495
SERTRALINE HCL,9231,5066320
DICLOFENAC SODIUM,2613,5048313
TRAMADOL HCL,10798,4971312
GAMUNEX-C,30,4944132
HUMULIN R U-500,113,4904706
BREO ELLIPTA,539,4888096
LEVETIRACETAM,3515,4825765
ZIPRASIDONE HCL,1153,4818647
TIZANIDINE HCL,3549,4774608
TIKOSYN,193,4759994
OLANZAPINE,2646,4753701
TOVIAZ,734,4725989
SANTYL,479,4678159
ILEVRO,229,4656374
FINASTERIDE,4522,4615917
BUDESONIDE EC,264,4558597
LIDOCAINE-PRILOCAINE,676,4555792
INTELENCE,115,4520834
PROLIA,152,4512509
FLUOXETINE HCL,7040,4489225
OLYSIO,8,4451414
ISOSORBIDE MONONITRATE ER,5536,4426817
DIGOXIN,3242,4415308
ZOLPIDEM TARTRATE,8082,4411707
MIRTAZAPINE,5320,4409552
HUMULIN N,737,4383813
RAPAFLO,447,4371036
XYREM,29,4336489
ATENOLOL,9128,4310164
DOXAZOSIN MESYLATE,3747,4217938
ECONAZOLE NITRATE,562,4191354
NIFEDIPINE ER,3355,4190533
RANITIDINE HCL,7081,4168206
CARBIDOPA-LEVODOPA,2351,4132463
CHLORPROMAZINE HCL,392,4124653
TRAZODONE HCL,9010,4120731
BACLOFEN,4125,4108676
ADVAIR HFA,430,4082949
PREDNISONE,11198,4075376
PIOGLITAZONE HCL,3013,4042691
DIOVAN,864,4038632
SAPHRIS,241,4019461
DALIRESP,552,4010510
BRILINTA,493,3999559
URSODIOL,500,3977658
MODAFINIL,407,3936663
BRIMONIDINE TARTRATE,1151,3888807
AMLODIPINE BESYLATE-BENAZEPRIL,2902,3875219
COLCRYS,797,3836383
LOSARTAN-HYDROCHLOROTHIAZIDE,5925,3803074
LANSOPRAZOLE,2763,3756818
VALGANCICLOVIR HCL,50,3743195
TUDORZA PRESSAIR,422,3716221
MEMANTINE HCL,1517,3707681
REBIF REBIDOSE,32,3687661
EXEMESTANE,302,3672003
DUREZOL,287,3669047
LORAZEPAM,8259,3654017
COLCHICINE,911,3652677
GLIMEPIRIDE,5067,3621535
HYDRALAZINE HCL,4704,3585076
AMITRIPTYLINE HCL,5228,3564640
JANUMET XR,376,3559278
OXYBUTYNIN CHLORIDE,3650,3543562
VOTRIENT,29,3541626
PAROXETINE HCL,5957,3499256
CIMZIA,59,3492962
CITALOPRAM HBR,8551,3420503
POLYETHYLENE GLYCOL 3350,3900,3385827
SPIRIVA RESPIMAT,330,3337490
CARBAMAZEPINE,1705,3293929
RISPERIDONE,3584,3291301
KEPPRA,127,3271386
FLUOCINONIDE,893,3268367
ASACOL HD,239,3262665
LAMICTAL,142,3253009
CLONAZEPAM,7799,3232541
SUTENT,20,3219387
STELARA,16,3213037
ALENDRONATE SODIUM,7018,3162719
HUMALOG MIX 75-25,267,3158653
CALCIUM ACETATE,608,3149977
DILTIAZEM 24HR ER,2248,3144104
JUXTAPID,7,3086189
SUSTIVA,138,2983008
VIGAMOX,294,2971513
LIDODERM,287,2908248
TIMOLOL MALEATE,1497,2862284
LOVASTATIN,5388,2851749
PATANOL,438,2826097
EXJADE,23,2805236
METRONIDAZOLE,2261,2800014
TRIAMCINOLONE ACETONIDE,4610,2788517
LISINOPRIL-HYDROCHLOROTHIAZIDE,6903,2785858
AZOR,454,2769960
AZITHROMYCIN,8856,2765706
BUTRANS,278,2764352
ELMIRON,133,2739505
BYDUREON PEN,191,2695493
BYETTA,247,2686228
ESTRACE,423,2681268
DIGOX,2311,2664896
KALETRA,113,2609126
FLUOROURACIL,409,2592980
METHYLPREDNISOLONE,3883,2578156
CYCLOBENZAPRINE HCL,5060,2576934
PROPRANOLOL HCL ER,1454,2571651
MELOXICAM,7367,2565228
FIRAZYR,3,2540229
ZEMAIRA,14,2516996
VAGIFEM,464,2513257
CLONIDINE,817,2511521
TRIAMTERENE-HYDROCHLOROTHIAZID,5250,2506474
RIVASTIGMINE,684,2494849
PENTASA,169,2487721
BERINERT,1,2483763
XALKORI,14,2465671
DEXTROAMPHETAMINE-AMPHETAMINE,1217,2458293
HIZENTRA,13,2438550
OXYMORPHONE HCL ER,172,2435822
SPIRONOLACTONE,6036,2432876
FENOFIBRIC ACID,879,2429505
FOSRENOL,100,2423681
ATROVENT HFA,448,2422305
SIMPONI,37,2390612
CARBAMAZEPINE ER,697,2385749
GLUMETZA,51,2384423
ORENITRAM ER,12,2383263
KLOR-CON M20,3153,2373143
AMIODARONE HCL,2838,2361686
DILTIAZEM 24HR CD,2637,2351871
FANAPT,98,2351793
RAMIPRIL,3381,2346137
ANORO ELLIPTA,258,2326404
KETOCONAZOLE,1953,2309766
CUBICIN,43,2291690
BUDESONIDE,305,2286867
BUPROPION HCL SR,3158,2280757
ROPINIROLE HCL,3636,2280222
CARTIA XT,2528,2279327
LOTEMAX,319,2267407
AZELASTINE HCL,1194,2266335
BUSPIRONE HCL,3626,2257679
PROLENSA,176,2233791
NEUPRO,163,2228789
CLOMIPRAMINE HCL,209,2223331
BUMETANIDE,1757,2198409
CHLORTHALIDONE,1919,2188563
DEXTROAMPHETAMINE-AMPHET ER,587,2177393
APRISO,214,2176381
ONFI,79,2161305
SUMATRIPTAN SUCCINATE,1939,2158293
IBANDRONATE SODIUM,1176,2157740
FAMOTIDINE,4576,2147762
POTASSIUM CITRATE ER,465,2137869
INSULIN SYRINGE,3426,2136591
TEMAZEPAM,3647,2122946
BYDUREON,190,2104492
TRIBENZOR,291,2097372
LEVOFLOXACIN,5862,2095894
CLOTRIMAZOLE-BETAMETHASONE,1786,2088953
PHENYTOIN SODIUM EXTENDED,2075,2088106
CIPROFLOXACIN HCL,8633,2062549
NOVOLIN N,518,2039867
NEULASTA,14,2033600
CIALIS,355,2029678
CARBIDOPA-LEVODOPA-ENTACAPONE,194,2023253
KOMBIGLYZE XR,229,2020866
ENTECAVIR,82,2015414
ACTEMRA,28,2015077
VANCOMYCIN HCL,409,1997447
ESTRADIOL,2665,1990203
LABETALOL HCL,1815,1981763
SUPREP,330,1976682
DORZOLAMIDE-TIMOLOL,1097,1968553
ASMANEX,383,1950846
LIVALO,390,1949699
IBUPROFEN,6862,1939865
HALOPERIDOL,1328,1939414
VERAPAMIL ER,3244,1937781
LEFLUNOMIDE,286,1928451
APOKYN,6,1922031
BANZEL,50,1921074
GLIPIZIDE,5628,1913148
PROPAFENONE HCL ER,137,1912549
GATTEX,4,1908666
NEUPOGEN,32,1899720
AMOXICILLIN-CLAVULANATE POTASS,5110,1897941
CARAFATE,417,1883983
LAMOTRIGINE,3003,1881794
VIIBRYD,413,1863928
NOVOLIN R,535,1847177
VALACYCLOVIR,2204,1838918
NYSTATIN,2573,1837606
XOLAIR,34,1831866
ENTACAPONE,266,1829193
TAMIFLU,473,1803287
PRAMIPEXOLE DIHYDROCHLORIDE,2364,1796982
SELZENTRY,55,1782590
PROPRANOLOL HCL,3282,1778663
BRINTELLIX,258,1776727
NITROFURANTOIN MONO-MACRO,2236,1770082
BESIVANCE,138,1764278
PROMACTA,20,1739173
TOPIRAMATE,3310,1735967
HUMULIN R,528,1732746
NUVIGIL,148,1725206
AMANTADINE,640,1698856
ACETAMINOPHEN-CODEINE,4191,1692675
COREG CR,319,1666510
TACROLIMUS,216,1658756
CEFUROXIME,1323,1636191
GLIPIZIDE ER,2916,1634865
BUPRENORPHINE-NALOXONE,171,1626586
JENTADUETO,136,1621417
PROSOL,101,1617505
TOPAMAX,84,1615942
ONDANSETRON HCL,2643,1614335
CLONIDINE HCL,5373,1611595
OXCARBAZEPINE,1340,1603338
NITROSTAT,2583,1590776
ZENPEP,115,1584411
PROCYSBI,1,1580200
OTEZLA,39,1579363
TOPROL XL,1243,1575443
DESONIDE,372,1572004
ACYCLOVIR,2093,1570420
NADOLOL,752,1562046
LEXIVA,57,1556221
METHADONE HCL,1336,1523842
ISOSORBIDE DINITRATE,1036,1516881
NYSTATIN-TRIAMCINOLONE,503,1510346
STRATTERA,215,1509794
IRBESARTAN,1954,1492047
MECLIZINE HCL,3255,1473331
SUCRALFATE,1704,1466028
JALYN,271,1443265
NORTHERA,10,1430382
DRONABINOL,178,1427813
ARANESP,45,1427008
HUMULIN 70/30 KWIKPEN,147,1411645
FLUCONAZOLE,3486,1408994
FLECAINIDE ACETATE,811,1400716
LAMOTRIGINE ER,109,1386452
METOLAZONE,1412,1384757
COUMADIN,645,1375248
NUCYNTA,126,1366804
CELEBREX,232,1363479
CARBIDOPA-LEVODOPA ER,638,1357316
METHYLPHENIDATE HCL,892,1345318
RENAGEL,68,1334211
AMLODIPINE-VALSARTAN,480,1331259
CALCITRIOL,1118,1314511
CEPHALEXIN,6678,1311331
MIDODRINE HCL,768,1307189
REPAGLINIDE,476,1302130
OLANZAPINE ODT,273,1292877
OPDIVO,3,1255664
NUCYNTA ER,114,1238607
TOBRAMYCIN-DEXAMETHASONE,489,1231256
FABRAZYME,1,1230076
BENAZEPRIL HCL,3941,1228630
DURAGESIC,55,1218972
FONDAPARINUX SODIUM,36,1215012
HYDROMORPHONE HCL,1327,1205657
APTIOM,37,1201599
SIMBRINZA,272,1198281
BIVIGAM,2,1196220
BETAMETHASONE DIPROPIONATE,663,1192232
DELZICOL,136,1189989
BUTALBITAL-ACETAMINOPHEN-CAFFE,1025,1189819
BENZTROPINE MESYLATE,1755,1187774
DILTIAZEM ER,1491,1185826
NOXAFIL,6,1174627
THALOMID,11,1174558
CICLOPIROX,624,1174212
VASCEPA,160,1170457
SAVELLA,259,1169566
FARXIGA,165,1167342
NAPROXEN,4876,1162334
VIAGRA,120,1153963
PARICALCITOL,153,1147817
LAMIVUDINE-ZIDOVUDINE,97,1143724
AMOXICILLIN,8481,1136939
KETOROLAC TROMETHAMINE,521,1130866
VELPHORO,42,1124468
EXALGO,18,1120486
DIAZEPAM,4908,1116109
GEMFIBROZIL,2597,1103380
VENLAFAXINE HCL,1522,1102840
CALCIPOTRIENE,129,1100386
PRIVIGEN,8,1099731
ANASTROZOLE,937,1085837
PLEGRIDY PEN,11,1082489
MUPIROCIN,2389,1074143
MYCOPHENOLATE MOFETIL,363,1070115
GLIPIZIDE-METFORMIN,494,1059952
SULFAMETHOXAZOLE-TRIMETHOPRIM,6240,1050826
FELODIPINE ER,1040,1049623
METHYLPHENIDATE ER,280,1044587
SAMSCA,8,1040469
TOUJEO SOLOSTAR,96,1039499
INVANZ,94,1039073
ENABLEX,208,1037703
DOXEPIN HCL,1352,1037355
LACTULOSE,1805,1025963
HYDROMORPHONE ER,58,1020604
RISEDRONATE SODIUM,253,1016431
PERCOCET,47,1014816
CHOLESTYRAMINE,541,1012354
REVATIO,11,1008193
QUINAPRIL HCL,1965,1006550
ROZEREM,212,1006249
RITUXAN,9,1005370
ERIVEDGE,6,999997
CAPTOPRIL,528,998244
MEKINIST,5,997076
GALANTAMINE HBR,403,995071
HUMULIN N KWIKPEN,85,987805
ACETAZOLAMIDE,350,968889
PERPHENAZINE,384,966980
TERAZOSIN HCL,3153,958621
OFLOXACIN,593,958078
GLIPIZIDE XL,1791,955251
VYVANSE,189,954688
BENAZEPRIL-HYDROCHLOROTHIAZIDE,706,944123
HUMALOG MIX 50-50 KWIKPEN,45,942507
CHANTIX,232,931977
VALCYTE,15,929471
TORSEMIDE,1608,928927
CEFDINIR,1049,928017
NEVANAC,98,924702
ALBUTEROL SULFATE,779,920392
NATEGLINIDE,350,918919
INLYTA,5,917966
ETODOLAC,583,915034
METHENAMINE HIPPURATE,363,913806
SILDENAFIL,133,901942
PREVACID,150,900964
SOTALOL,1373,899711
FLUOROMETHOLONE,263,896575
WELLBUTRIN XL,44,882199
LAMICTAL XR,38,881123
AVONEX ADMINISTRATION PACK,12,879650
BOOSTRIX TDAP,125,873666
PREZCOBIX,26,869841
TAFINLAR,5,867228
BOSULIF,6,864862
NIFEDICAL XL,1308,864222
PRIMIDONE,1496,862995
FAZACLO,34,861743
LEVOCETIRIZINE DIHYDROCHLORIDE,1109,855068
NABUMETONE,1168,854522
MOVIPREP,182,846632
TELMISARTAN,568,844320
ENDOCET,393,842834
KUVAN,2,842123
EDURANT,45,842108
PREMPRO,307,841286
COLESTIPOL HCL,403,838917
PHENOBARBITAL,1087,835878
IPRATROPIUM-ALBUTEROL,810,832060
ZOLPIDEM TARTRATE ER,601,826657
ABACAVIR,85,823739
AZATHIOPRINE,647,823553
IPRATROPIUM BROMIDE,1112,813766
HYDROXYZINE HCL,1737,806360
PILOCARPINE HCL,329,804932
CIPRODEX,199,801576
NITROFURANTOIN,860,800371
ESZOPICLONE,768,797420
FETZIMA,137,789757
GATIFLOXACIN,96,776989
BEXAROTENE,3,776867
DILANTIN,538,772660
GILOTRIF,8,770320
EPIPEN 2-PAK,95,769612
RAVICTI,1,769322
TROSPIUM CHLORIDE,281,766187
XGEVA,16,765554
HALOPERIDOL DECANOATE,291,764647
FORADIL,153,762528
VALCHLOR,6,761649
LOVAZA,155,756328
BARACLUDE,18,755025
ERYTHROMYCIN,666,754166
DIPHENOXYLATE-ATROPINE,1194,752728
TEKTURNA,245,751502
SEREVENT DISKUS,153,751473
CILOSTAZOL,1355,749779
PIOGLITAZONE-METFORMIN,211,748114
ATOVAQUONE,36,747648
APIDRA SOLOSTAR,74,747047
ZONEGRAN,20,746865
TOLTERODINE TARTRATE,391,746497
REMICADE,7,739797
GLASSIA,5,737371
MORPHINE SULFATE,1078,733775
AMMONIUM LACTATE,663,732548
DORZOLAMIDE HCL,632,732017
CLOZARIL,31,725696
BISOPROLOL FUMARATE,821,725298
ACITRETIN,42,719459
GRALISE,73,718972
TYSABRI,9,710533
TARGRETIN,1,709255
SOMAVERT,5,705136
TRULICITY,53,689595
CLINDAMYCIN PHOSPHATE,377,686277
KLOR-CON M10,1297,685405
NORTRIPTYLINE HCL,2077,683271
ONDANSETRON ODT,1443,682939
DARAPRIM,4,677502
NITROGLYCERIN PATCH,867,677282
ARALAST NP,5,674872
AVASTIN,6,665954
LAMIVUDINE,122,663680
HYDROCORTISONE,1323,663666
EDECRIN,26,661326
SEROSTIM,3,659162
SIROLIMUS,36,658222
TAMOXIFEN CITRATE,542,650996
CARISOPRODOL,1255,650378
NYSTOP,750,649898
CEVIMELINE HCL,106,647884
GAMMAKED,6,647420
BUPROPION HCL,890,645374
CANASA,47,644418
CAYSTON,3,639175
HUMALOG MIX 50-50,36,637494
RYTARY,25,636603
LIPITOR,134,634043
CYMBALTA,140,630202
HYDROCORTISONE VALERATE,167,629157
KEPPRA XR,46,623552
ZYDELIG,4,621918
MEGESTROL ACETATE,775,618497
ASPIRIN-DIPYRIDAMOLE ER,109,616864
VIMOVO,24,612131
TEGRETOL XR,184,611342
ATELVIA,94,610867
RELPAX,75,609380
DEPAKOTE ER,95,605392
ACTIQ,2,605247
HERCEPTIN,6,604292
TRAMADOL HCL-ACETAMINOPHEN,904,603664
GLYBURIDE,1216,603451
BALSALAZIDE DISODIUM,170,601737
DESOXIMETASONE,185,595516
METHAZOLAMIDE,63,593828
DYMISTA,153,590225
CALCITONIN-SALMON,453,589710
AMLODIPINE-ATORVASTATIN,151,584368
DEPAKOTE,72,582058
GLUCAGON EMERGENCY KIT,85,580880
MESTINON,31,578943
NEVIRAPINE ER,44,564148
HALOBETASOL PROPIONATE,116,563719
PROMETHAZINE HCL,1967,563669
ACTONEL,132,563286
DILTIAZEM HCL,1354,562781
TESTOSTERONE CYPIONATE,517,559883
DESMOPRESSIN ACETATE,311,557482
TELMISARTAN-HYDROCHLOROTHIAZID,264,556928
BENLYSTA,6,555214
MYCOPHENOLIC ACID,37,552833
NILANDRON,7,550754
PROTONIX,109,545358
METAXALONE,147,544478
PROCTOZONE-HC,331,543414
DICYCLOMINE HCL,2164,542599
TROSPIUM CHLORIDE ER,120,541243
ZELBORAF,4,538085
LIOTHYRONINE SODIUM,502,534465
ZYPREXA,37,530272
PYRIDOSTIGMINE BROMIDE,257,530036
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,25,527952
OXYMORPHONE HCL,95,527791
OXYCODONE HCL ER,62,526922
BETHANECHOL CHLORIDE,324,525214
JARDIANCE,74,525146
CLOZAPINE ODT,46,524191
STIVARGA,4,522419
EPLERENONE,215,518374
OMEPRAZOLE-SODIUM BICARBONATE,51,512098
CELLCEPT,23,511305
KETOPROFEN,29,510038
TRANSDERM-SCOP,193,509204
PROVENTIL HFA,332,508822
LUMIZYME,1,507960
EXFORGE,121,507768
TOBRADEX,95,506241
LETROZOLE,476,503453
EMTRIVA,52,503053
EFFEXOR XR,84,502787
CLOTRIMAZOLE,620,498459
FELBAMATE,45,497477
METHOCARBAMOL,1152,493677
ATENOLOL-CHLORTHALIDONE,963,491807
PROGESTERONE,304,490569
PROPAFENONE HCL,440,488352
TYKERB,6,487232
DILT-XR,653,484984
RISPERIDONE ODT,139,484774
FYCOMPA,24,483749
PROVIGIL,18,483735
OCTAGAM,2,482767
TRAMADOL HCL ER,209,481730
XOPENEX HFA,352,480871
LYNPARZA,5,477989
THEOPHYLLINE ANHYDROUS,762,476565
FENTORA,3,475871
DOXYCYCLINE MONOHYDRATE,798,471126
DICLOFENAC POTASSIUM,340,469372
HYDROXYUREA,473,469192
ESTRING,72,468213
PRAZOSIN HCL,675,467299
ROPINIROLE ER,113,465097
TRILEPTAL,45,464158
VORICONAZOLE,22,463959
SEROQUEL,57,463571
BUPRENORPHINE HCL,119,462661
CUPRIMINE,4,462136
FLUOCINOLONE ACETONIDE,154,460765
ACIPHEX,53,458187
NORDITROPIN FLEXPRO,8,457807
BICALUTAMIDE,452,455156
BOTOX,17,451866
CEFTRIAXONE,328,449463
LUPRON DEPOT,14,448923
CANDESARTAN CILEXETIL,260,448561
ALFUZOSIN HCL ER,587,443944
JANTOVEN,1194,443607
CARIMUNE NF NANOFILTERED,4,438921
SPIRONOLACTONE-HCTZ,383,438381
PENNSAID,16,435654
EXTAVIA,9,432892
ALCOHOL PREP PADS,440,431064
LOVENOX,36,429311
METOCLOPRAMIDE HCL,1875,427838
PLAVIX,120,425150
PULMICORT FLEXHALER,107,423033
FLECTOR,66,420905
ACTIMMUNE,1,418410
GLATOPA,5,417076
EMEND,26,415793
GLUCAGEN,76,415619
AMLODIPINE-VALSARTAN-HCTZ,133,415382
ATIVAN,16,415166
KLOR-CON 10,758,410522
SYMLINPEN 120,21,409917
DIGITEK,504,408245
CLINDAMYCIN HCL,2391,407868
PIROXICAM,178,405698
ABSTRAL,1,403632
ACARBOSE,251,401303
EYLEA,7,400904
ZONISAMIDE,413,399983
RELISTOR,20,392303
LEXAPRO,100,392156
IRBESARTAN-HYDROCHLOROTHIAZIDE,474,387415
AURYXIA,19,379377
TROKENDI XR,26,378906
MINOCYCLINE HCL,616,376749
LENVIMA,1,375394
K-TAB ER,241,375156
SOMATULINE DEPOT,7,373754
RABEPRAZOLE SODIUM,325,372876
ZYVOX,3,372499
BIDIL,82,369038
FLOVENT DISKUS,113,368478
ZIOPTAN,90,368284
VALPROIC ACID,583,364845
EGRIFTA,6,360439
BISOPROLOL-HYDROCHLOROTHIAZIDE,1164,358597
FLUPHENAZINE DECANOATE,89,357694
GEODON,30,357349
HETLIOZ,3,357270
UCERIS,16,352284
NEOMYCIN-POLYMYXIN-DEXAMETH,532,350108
SANDOSTATIN LAR,3,349431
TEGRETOL,99,348986
SABRIL,2,347344
ADACEL TDAP,179,345777
NOVOFINE AUTOCOVER,191,345373
CHLORHEXIDINE GLUCONATE,1676,345241
TANZEUM,40,344494
CAPRELSA,3,340030
KEYTRUDA,2,337557
DEXTROAMPHETAMINE SULFATE ER,78,336142
DEXAMETHASONE,811,335680
CLARITHROMYCIN,327,334646
ZEGERID,12,333462
GENTAMICIN SULFATE,411,331379
NISOLDIPINE,84,329670
PROGRAF,29,327872
LITHIUM CARBONATE,1127,327484
TESTOSTERONE,53,327240
TRETINOIN,121,324420
VIRACEPT,19,323914
PHENYTOIN,441,322954
SULFASALAZINE,445,322915
TIAGABINE HCL,49,321936
EDARBYCLOR,79,321673
KORLYM,2,317402
LOTRONEX,11,316497
BROMFENAC SODIUM,65,316190
HYDROXYZINE PAMOATE,834,315441
TESTRED,1,314562
VERAPAMIL HCL,614,314503
BROVANA,42,313975
NOVOFINE 32,272,312026
FLUVOXAMINE MALEATE,485,311459
LITHIUM CARBONATE ER,579,311093
TASMAR,1,310762
NEURONTIN,43,310350
EVISTA,86,308886
ZORTRESS,4,307960
THIOTHIXENE,210,302811
MOXIFLOXACIN HCL,123,302504
ZYPREXA RELPREVV,10,302186
EDARBI,93,302020
MOMETASONE FUROATE,457,300518
PROCTOSOL-HC,269,296398
IMIQUIMOD,102,294756
ELIDEL,39,293277
FLUDROCORTISONE ACETATE,686,293222
RILUZOLE,33,292536
MYSOLINE,7,290570
MERCAPTOPURINE,124,290187
ALREX,67,287452
RISPERDAL,23,286182
BROMOCRIPTINE MESYLATE,73,285739
PENTOXIFYLLINE,578,285194
SILENOR,60,284215
DICLOFENAC SODIUM-MISOPROSTOL,114,281781
DUTASTERIDE,71,276315
PERMETHRIN,136,274410
TRIFLUOPERAZINE HCL,202,271026
INVIRASE,10,269637
